pipeline_id,case_id,mode_id,repair_executed,target_contract_repaired,recertified,contracts_checked,new_critical_violations,rollback_verified
ext1-sklearn-column-transformer,E8_EXPLANATION_PROVENANCE,B_LOCAL_STRONG,False,False,False,0,0,False
ext1-sklearn-column-transformer,E8_EXPLANATION_PROVENANCE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext1-sklearn-column-transformer,E8_EXPLANATION_PROVENANCE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext1-sklearn-column-transformer,E8_EXPLANATION_PROVENANCE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext1-sklearn-column-transformer,E8_EXPLANATION_PROVENANCE,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E2_TRAIN_TEST_OVERLAP,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E2_TRAIN_TEST_OVERLAP,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E2_TRAIN_TEST_OVERLAP,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E2_TRAIN_TEST_OVERLAP,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E2_TRAIN_TEST_OVERLAP,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E3_PREPROCESSOR_FIT_SCOPE,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E3_PREPROCESSOR_FIT_SCOPE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E3_PREPROCESSOR_FIT_SCOPE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E3_PREPROCESSOR_FIT_SCOPE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E3_PREPROCESSOR_FIT_SCOPE,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E4_FEATURE_SCHEMA_OR_ORDER,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E4_FEATURE_SCHEMA_OR_ORDER,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E4_FEATURE_SCHEMA_OR_ORDER,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E4_FEATURE_SCHEMA_OR_ORDER,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E4_FEATURE_SCHEMA_OR_ORDER,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E5_MODEL_ARTIFACT_MISMATCH,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E5_MODEL_ARTIFACT_MISMATCH,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E5_MODEL_ARTIFACT_MISMATCH,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E5_MODEL_ARTIFACT_MISMATCH,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E5_MODEL_ARTIFACT_MISMATCH,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E6_MODEL_EXPLAINER_VERSION,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E6_MODEL_EXPLAINER_VERSION,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E6_MODEL_EXPLAINER_VERSION,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E6_MODEL_EXPLAINER_VERSION,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E6_MODEL_EXPLAINER_VERSION,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E7_PREDICTION_EXPLANATION_BINDING,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E7_PREDICTION_EXPLANATION_BINDING,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E7_PREDICTION_EXPLANATION_BINDING,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E7_PREDICTION_EXPLANATION_BINDING,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E7_PREDICTION_EXPLANATION_BINDING,O_FUZZYXAI,True,True,True,28,0,True
ext2-shap-tree-explainer,E8_EXPLANATION_PROVENANCE,B_LOCAL_STRONG,False,False,False,0,0,False
ext2-shap-tree-explainer,E8_EXPLANATION_PROVENANCE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext2-shap-tree-explainer,E8_EXPLANATION_PROVENANCE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext2-shap-tree-explainer,E8_EXPLANATION_PROVENANCE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext2-shap-tree-explainer,E8_EXPLANATION_PROVENANCE,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E2_TRAIN_TEST_OVERLAP,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E2_TRAIN_TEST_OVERLAP,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E2_TRAIN_TEST_OVERLAP,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E2_TRAIN_TEST_OVERLAP,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E2_TRAIN_TEST_OVERLAP,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E3_PREPROCESSOR_FIT_SCOPE,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E3_PREPROCESSOR_FIT_SCOPE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E3_PREPROCESSOR_FIT_SCOPE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E3_PREPROCESSOR_FIT_SCOPE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E3_PREPROCESSOR_FIT_SCOPE,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E4_FEATURE_SCHEMA_OR_ORDER,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E4_FEATURE_SCHEMA_OR_ORDER,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E4_FEATURE_SCHEMA_OR_ORDER,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E4_FEATURE_SCHEMA_OR_ORDER,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E4_FEATURE_SCHEMA_OR_ORDER,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E5_MODEL_ARTIFACT_MISMATCH,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E5_MODEL_ARTIFACT_MISMATCH,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E5_MODEL_ARTIFACT_MISMATCH,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E5_MODEL_ARTIFACT_MISMATCH,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E5_MODEL_ARTIFACT_MISMATCH,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E6_MODEL_EXPLAINER_VERSION,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E6_MODEL_EXPLAINER_VERSION,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E6_MODEL_EXPLAINER_VERSION,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E6_MODEL_EXPLAINER_VERSION,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E6_MODEL_EXPLAINER_VERSION,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E7_PREDICTION_EXPLANATION_BINDING,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E7_PREDICTION_EXPLANATION_BINDING,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E7_PREDICTION_EXPLANATION_BINDING,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E7_PREDICTION_EXPLANATION_BINDING,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E7_PREDICTION_EXPLANATION_BINDING,O_FUZZYXAI,True,True,True,28,0,True
ext3-mlflow-elasticnet,E8_EXPLANATION_PROVENANCE,B_LOCAL_STRONG,False,False,False,0,0,False
ext3-mlflow-elasticnet,E8_EXPLANATION_PROVENANCE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext3-mlflow-elasticnet,E8_EXPLANATION_PROVENANCE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext3-mlflow-elasticnet,E8_EXPLANATION_PROVENANCE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext3-mlflow-elasticnet,E8_EXPLANATION_PROVENANCE,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E2_TRAIN_TEST_OVERLAP,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E2_TRAIN_TEST_OVERLAP,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E2_TRAIN_TEST_OVERLAP,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E2_TRAIN_TEST_OVERLAP,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E2_TRAIN_TEST_OVERLAP,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E3_PREPROCESSOR_FIT_SCOPE,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E3_PREPROCESSOR_FIT_SCOPE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E3_PREPROCESSOR_FIT_SCOPE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E3_PREPROCESSOR_FIT_SCOPE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E3_PREPROCESSOR_FIT_SCOPE,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E4_FEATURE_SCHEMA_OR_ORDER,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E4_FEATURE_SCHEMA_OR_ORDER,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E4_FEATURE_SCHEMA_OR_ORDER,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E4_FEATURE_SCHEMA_OR_ORDER,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E4_FEATURE_SCHEMA_OR_ORDER,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E5_MODEL_ARTIFACT_MISMATCH,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E5_MODEL_ARTIFACT_MISMATCH,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E5_MODEL_ARTIFACT_MISMATCH,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E5_MODEL_ARTIFACT_MISMATCH,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E5_MODEL_ARTIFACT_MISMATCH,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E6_MODEL_EXPLAINER_VERSION,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E6_MODEL_EXPLAINER_VERSION,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E6_MODEL_EXPLAINER_VERSION,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E6_MODEL_EXPLAINER_VERSION,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E6_MODEL_EXPLAINER_VERSION,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E7_PREDICTION_EXPLANATION_BINDING,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E7_PREDICTION_EXPLANATION_BINDING,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E7_PREDICTION_EXPLANATION_BINDING,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E7_PREDICTION_EXPLANATION_BINDING,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E7_PREDICTION_EXPLANATION_BINDING,O_FUZZYXAI,True,True,True,28,0,True
ext4-lime-tabular,E8_EXPLANATION_PROVENANCE,B_LOCAL_STRONG,False,False,False,0,0,False
ext4-lime-tabular,E8_EXPLANATION_PROVENANCE,B_PAIRWISE_RULES,False,False,False,0,0,False
ext4-lime-tabular,E8_EXPLANATION_PROVENANCE,B_MLFLOW_QUERY,False,False,False,0,0,False
ext4-lime-tabular,E8_EXPLANATION_PROVENANCE,B_GREEDY_CROSS_STAGE,False,False,False,0,0,False
ext4-lime-tabular,E8_EXPLANATION_PROVENANCE,O_FUZZYXAI,True,True,True,28,0,True
