theta_rank,k_top,chi_R_crit_policy,Delta_max,gamma_max,share_conflicts,share_critical_conflicts,share_action_diff_f0_nas,share_f0_accept_nas_block,recall_critical,false_auto_accept,false_block
0.2,3,strict,0.15,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.15,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.15,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.25,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.25,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.25,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.35,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.35,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.35,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.45,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.45,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,strict,0.45,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,3,medium,0.15,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.15,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.15,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.25,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.25,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.25,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.35,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.35,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.35,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.45,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.45,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,medium,0.45,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,3,broad,0.15,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.15,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.15,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.25,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.25,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.25,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.35,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.35,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.35,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.45,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.45,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,3,broad,0.45,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,strict,0.15,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.15,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.15,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.25,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.25,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.25,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.35,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.35,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.35,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.45,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.45,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,strict,0.45,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,5,medium,0.15,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.15,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.15,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.25,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.25,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.25,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.35,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.35,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.35,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.45,0.35,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.45,0.45,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,medium,0.45,0.55,0.795,0.774,0.856,0.605,1.0,0,0
0.2,5,broad,0.15,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.15,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.15,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.25,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.25,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.25,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.35,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.35,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.35,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.45,0.35,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.45,0.45,0.795,0.795,0.856,0.605,1.0,0,0
0.2,5,broad,0.45,0.55,0.795,0.795,0.856,0.605,1.0,0,0
0.2,7,strict,0.15,0.35,0.795,0.341,0.738,0.336,1.0,254,0
0.2,7,strict,0.15,0.45,0.795,0.341,0.738,0.336,1.0,254,0
0.2,7,strict,0.15,0.55,0.795,0.341,0.738,0.336,1.0,254,0
0.2,7,strict,0.25,0.35,0.795,0.341,0.738,0.336,1.0,254,0
